Updated On,State,Total Tested,Tag (Total Tested),Positive,Negative,Unconfirmed,Cumulative People In Quarantine,Total People Currently in Quarantine,Tag (People in Quarantine),Total People Released From Quarantine,People in ICU,People on Ventilators,Num Isolation Beds,Num ICU Beds,Num Ventilators,Total PPE,Total N95 Masks,Corona Enquiry Calls,Num Calls State Helpline,Source1,Source2,Source3,Test positivity rate,Tests per thousand,Tests per million,Tests per positive case,Population NCP 2019 Projection
17/04/2020,Andaman and Nicobar Islands,1403,Samples Sent,12,1210,181,,,,,,,50,,,,,,,https://t.me/indiacovid/2550,,,0.86%,3.53,3534,117,397000
24/04/2020,Andaman and Nicobar Islands,2679,Samples Sent,27,,246,,614,Institutional,347,,,50,,,,,,280,https://t.me/indiacovid/3147?single,,,1.01%,6.75,6748,99,397000
27/04/2020,Andaman and Nicobar Islands,2848,Samples Sent,33,,106,,724,Institutional,420,,,50,,,,,,298,https://t.me/indiacovid/3365?single,,,1.16%,7.17,7174,86,397000
01/05/2020,Andaman and Nicobar Islands,3754,Samples Sent,33,,199,,643,Institutional,556,,,50,,,,,,340,https://t.me/indiacovid/3781,,,0.88%,9.46,9456,114,397000
16/05/2020,Andaman and Nicobar Islands,6677,Samples Sent,33,,136,,16,Institutional,1196,,,98,,,,,,471,https://t.me/indiacovid/4925,,,0.49%,16.82,16819,202,397000
19/05/2020,Andaman and Nicobar Islands,6965,Samples Sent,33,,117,,2,Institutional,1213,,,98,,,,,,477,https://dhs.andaman.gov.in/NewEvents/261.pdf,,,0.47%,17.54,17544,211,397000
20/05/2020,Andaman and Nicobar Islands,7082,Samples Sent,33,,117,,0,Institutional,1215,,,98,,,,,,477,https://dhs.andaman.gov.in/NewEvents/262.pdf,,,0.47%,17.84,17839,215,397000
21/05/2020,Andaman and Nicobar Islands,7167,Samples Sent,33,,85,,0,Institutional,1215,,,98,,,,,,478,https://dhs.andaman.gov.in/NewEvents/263.pdf,,,0.46%,18.05,18053,217,397000
22/05/2020,Andaman and Nicobar Islands,7263,Samples Sent,33,,96,,0,Institutional,1215,,,98,,,,,,478,https://dhs.andaman.gov.in/NewEvents/264.pdf,https://t.me/Covid19india_Auxiliary_Test_Data/117?single,,0.45%,18.29,18295,220,397000
23/05/2020,Andaman and Nicobar Islands,7327,Samples Sent,33,,61,,0,Institutional,1215,,,98,,,,,,480,https://dhs.andaman.gov.in/NewEvents/266.pdf,,,0.45%,18.46,18456,222,397000
